"sample_id","sample_name","side","x1","y1","x2","y2","t","description","group","cas"
201,"mixv1",2,8.5,13,15.5,20,0,,,
202,"primary_amine_25nm",2,5,25,17,38,0,,"pei",
203,"secondary_amine_25nm",2,5,40,17,50,0,,"pei",
204,"secondary_amine_200nm",2,5,52,17,68,0,,"pei",
205,"tertiary_amine_s2",2,5,70,17,80,0,,"pei",
206,"tertiary_amine_au",2,5,83,17,95,0,,"pei",
207,"pei_800mw",2,5,97,17,112,0,,"pei",
208,"pei_25000mw",2,5,115,17,130,0,,"pei",
301,"mixv1",          3,9,22,16,28,0,,,
302,"Co3O4",          3,7,36,17,41,0,,"oxide",
303,"CoO",            3,7,46,18,51,0,,"oxide",
304,"Co_BEA_reacted", 3,7,56,18,62,0,,"Co_BEA",
305,"Co_BEA_reduced", 3,6,65,18,71,0,,"Co_BEA",
306,"Co_BEA_fresh",   3,7,76,18,81,0,,"Co_BEA",
307,"Co_SiO2_reacted",3,7,86,16,91,0,,"zeolite",
308,"Co_SiO2_fresh",  3,7,95,16,100,0,,"zeolite",
401,"mixv1",          4,9,11.5,16,17.5,0,,,
402,"CuO",            4,7,26,17,30,0,,"oxide",
403,"Cu_SiO_reacted", 4,7,36,17,41,0,,"zeolite",
404,"Cu_SiO_fresh",   4,7,46,17,51,0,,"zeolite",
405,"Mn_SiO_reacted", 4,7,56,17,61,0,,"zeolite",
406,"Mn_SiO_fresh",   4,7,66,17,71,0,,"zeolite",
407,"MnO",            4,7,75,17,80,0,,"oxide",
408,"Mn2O3",          4,7,85,17,91,0,,"oxide",
409,"Cu2O",           4,7,96,17,102,0,,"oxide",
200,"phosphor",2,7,6,16,10,0,,,
300,"phosphor",3,0,12,24,20,0,,,
